Brewery,City,Name,Abv,Ibu,Srm,Tags
St Peter's Brewery,Bungay,Winter Ale,6.3%,?,?,british_ale|old_ale
St. Austell Brewery,St. Austell,HSD Hicks Special Draught,5%,?,?,british_ale|ordinary_bitter
St. Austell Brewery,St. Austell,Proper Job,5.5%,?,?,british_ale|english_style_india_pale_ale
St. Austell Brewery,St. Austell,Tribute Premium Cornish Ale,4.2%,?,?,british_ale|ordinary_bitter
T&R; Theakston,Ripon,Old Peculier,5.7%,?,?,?
Tollemache and Cobbold Brewery,Ipswich,IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Ushers of Trowbridge,Trowbridge,IPA,?,?,?,north_american_ale|american_style_india_pale_ale
WH Brakspear & Sons,Henley-on-Thames,Coniston Bluebird Bitter,?,?,?,?
WH Brakspear & Sons,Henley-on-Thames,Henley Ale,?,?,?,?
Watney Brewery,London,Red Barrel,?,?,?,?
Wells and (&) Youngs Brewing Company Ltd.,?,Wells Banana Bread Beer,5.2%,?,?,other_style|fruit_beer
Wells and (&) Youngs Brewing Company Ltd.,?,Wells Bombardier English Bitter,5.2%,?,?,british_ale|special_bitter_or_best_bitter
Wells and (&) Youngs Brewing Company Ltd.,?,Young's Winter Warmer,5.2%,?,?,other_style|winter_warmer
Whim Ales,Buxton,Old Izaak,?,?,?,?
Whitbread Beer Company,Luton,Ale,?,?,?,?
Whitbread Beer Company,Luton,Mackeson XXX Stout,4.9%,?,?,british_ale|sweet_stout
Whitstable Brewery,Maidstone,East India IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Whitstable Brewery,Maidstone,Whitstable Oyster Stout,?,?,?,north_american_ale|american_style_stout
Woodforde's Norfolk Ales,Norwich,Norfolk Nog Old Dark Ale,99.99%,?,?,british_ale|old_ale
Wychwood Brewery,Witney,Bah Humbug,6%,?,?,british_ale|old_ale
Wychwood Brewery,Witney,Black Wych Stout,?,?,?,north_american_ale|american_style_stout
Wychwood Brewery,Witney,Hobgoblin,5.5%,?,?,north_american_ale|dark_american_belgo_style_ale
Wychwood Brewery,Witney,Old Devil,?,?,?,british_ale|english_style_pale_mild_ale
Wychwood Brewery,Witney,Scarecrow Ale,?,?,?,?
Wychwood Brewery,Witney,Wychcraft,?,?,?,?
Wychwood Brewery Company Ltd,?,Duchy Originals Organic English Ale,5%,?,?,british_ale|extra_special_bitter
Wye Valley Brewery,Stoke Lacy,Butty Bach,4.5%,?,?,?
York Brewery,York,Yorkshire Terrier Premium Cask Bitter,4.2%,?,?,?
Youngs & Company Brewery,London,Double Chocolate Stout,5.2%,?,?,british_ale|sweet_stout
Youngs & Company Brewery,London,Oatmeal Stout,5.2%,?,?,north_american_ale|american_style_stout
Youngs & Company Brewery,London,Old Nick,7.2%,?,?,?
Youngs & Company Brewery,London,Ramrod Special Bitter Ale,5%,?,?,?
Youngs & Company Brewery,London,Special London Ale,6.4%,?,?,british_ale|old_ale
Youngs & Company Brewery,London,Winter Warmer,5.2%,?,?,british_ale|old_ale
